tconst	averageRating	numVotes
tt0092099	6.9	273105
tt0031381	8.1	272314
tt1179933	7.2	272114
tt0116367	7.2	272091
tt3682448	7.6	271442
tt0190590	7.7	271353
tt0117571	7.2	270535
tt0100405	7.0	270292
tt1253863	6.2	269940
tt0884328	7.1	268060
tt0119177	7.8	267987
tt1152836	7.0	267617
tt0119528	6.9	267608
tt0413267	6.0	265381
tt1951266	6.5	264371
tt0348150	6.0	264347
tt0118880	6.9	263958
tt1735898	6.1	263904
tt0094226	7.9	263762
tt1981677	7.2	263731
tt0103644	6.5	263345
tt1591095	6.8	263290
tt0109040	6.9	262845
tt0800320	5.8	261905
tt0119008	7.7	261528
tt0473075	6.6	261393
tt0119822	7.7	261318
tt0103776	7.0	261257
tt0278504	7.2	260174
tt0808151	6.7	260027
tt4912910	7.8	259745
tt1197624	7.4	259538
tt1645170	6.4	258234
tt3778644	6.9	258184
tt1790885	7.4	258167
tt1706620	7.1	258108
tt1133985	5.5	257831
tt0203009	7.6	257081
tt6320628	7.6	256598
tt0120201	7.2	256463
tt1478338	6.8	256141
tt0320661	7.2	255952
tt1028528	7.0	255150
tt0125439	7.1	254900
tt0838283	6.9	254790
tt2106476	8.3	254742
tt1259571	4.7	254081
tt0120623	7.2	253975
tt1091191	7.5	253726
tt3799694	7.4	253641
tt0112384	7.6	253526
tt0332379	7.1	253076
tt0800039	7.1	252832
tt0106977	7.8	252761
tt2771200	7.1	252511
tt0265666	7.6	252308
tt0056172	8.3	251524
tt3731562	6.6	251498
tt0187078	6.5	251166
tt0096283	8.2	250589
tt2798920	6.9	250573
tt1638355	7.3	249829
tt1013752	6.6	249649
tt0120669	7.6	248268
tt0411477	7.0	248136
tt0112471	8.1	248135
tt3040964	7.4	248088
tt4649466	6.7	247767
tt0463854	7.0	247377
tt0450385	6.8	246782
tt0401729	6.6	246778
tt1340138	6.4	246665
tt2302755	6.5	245495
tt1650554	6.5	245423
tt1213663	7.0	245065
tt0955308	6.6	244612
tt0190332	7.8	244444
tt2737304	6.6	244309
tt4975722	7.4	244149
tt0286716	5.6	244109
tt0320691	7.0	244107
tt0258000	6.8	244082
tt0486655	7.6	243969
tt0061722	8.0	243563
tt0486576	5.6	243488
tt0187393	7.2	243475
tt2140479	7.3	243305
tt0438097	6.8	243111
tt0290002	6.3	243093
tt0094721	7.5	242899
tt0212985	6.8	242482
tt0183649	7.0	241725
tt0075686	8.0	241692
tt0105323	8.0	241669
tt3521164	7.6	241631
tt0118884	7.4	241570
tt1790809	6.6	241417
tt2024469	6.9	240452
tt0181875	7.9	240391
tt1343727	7.1	240316
tt1401152	6.8	239515
tt0452623	7.6	239413
tt0429493	6.7	239353
tt0259711	6.9	238815
tt0322259	5.9	238712
tt1302011	7.2	238006
tt4881806	6.2	237786
tt2316204	6.4	237663
tt0414387	7.8	237635
tt0289765	7.2	237204
tt0120804	6.7	237008
tt0196229	6.5	236847
tt1077368	6.2	236502
tt0298203	7.1	235954
tt2527338	6.9	235386
tt0338526	6.1	234917
tt0783233	7.8	234778
tt0443272	7.3	234283
tt2397535	7.5	234117
tt1959490	5.8	234072
tt3076658	7.6	233960
tt0257044	7.7	233774
tt1028532	8.1	233725
tt0120762	7.6	233543
tt0120611	7.1	233511
tt0368447	6.5	233308
tt1706593	7.0	233115
tt1817273	7.3	233056
tt1601913	6.8	233017
tt1385826	7.0	232955
tt1386703	6.3	232676
tt0497465	7.1	232574
tt0803096	6.8	232226
tt0151804	7.7	232183
tt0215750	7.6	230859
tt0252866	6.4	230248
tt0107614	7.0	230242
tt0121164	7.3	230091
tt0457939	6.9	229924
tt0221027	7.6	229692
tt1931533	7.2	229405
tt0053291	8.2	228931
tt1440129	5.8	228876
tt0116695	7.3	228723
tt1386588	6.6	228383
tt0113189	7.2	228081
tt3110958	6.5	228028
tt0070735	8.3	227924
tt0099348	8.0	227423
tt0824747	7.7	227296
tt0463985	6.0	226996
tt0120812	7.0	226957
tt0089218	7.8	226739
tt1033575	7.3	226430
tt0111503	7.2	226297
tt0479884	6.9	226254
tt0112462	5.4	226121
tt0118749	7.9	226066
tt1092026	7.0	225797
tt4034228	7.8	225668
tt0093409	7.6	225444
tt0363547	7.3	225113
tt0396171	7.5	224964
tt0448134	7.2	224660
tt1032755	7.3	224490
tt0118688	3.7	224270
tt3606756	7.7	223881
tt0072890	8.0	223852
tt2277860	7.3	223486
tt0432348	6.6	223109
tt0097757	7.6	222923
tt1192628	7.2	222915
tt0978764	6.0	222359
tt0976051	7.6	222104
tt0185937	6.5	222040
tt0358273	7.8	221922
tt1464540	6.1	221430
tt1655442	7.9	221400
tt0175142	6.2	221323
tt0102057	6.8	221229
tt0104257	7.7	221068
tt2229499	6.5	220965
tt0093870	7.5	220743
tt0077631	7.2	220537
tt0144117	7.8	220507
tt1673434	5.5	220223
tt0414993	7.2	220194
tt0825232	7.4	220041
tt3079380	7.0	219590
tt0478087	6.8	219315
tt1823672	6.8	219229
tt0364725	6.7	219117
tt1212450	7.3	218935
tt0985699	7.1	218777
tt0765443	7.6	218674
tt0120660	7.3	218618
tt0082096	8.3	218129
tt0195714	6.7	217956
tt1211956	6.7	217927
tt0134847	7.1	217827
tt0118583	6.2	217660
tt1855199	7.6	217530
tt0112442	6.9	217494
tt4550098	7.5	217175
tt1325004	5.0	216970
tt0381681	8.0	216949
tt1375670	5.9	216939
tt0315733	7.7	216615
tt2660888	7.1	216466
tt0059578	8.3	216011
tt3263904	7.4	215766
tt1731141	6.6	215580
tt0077651	7.8	215471
tt0309698	7.3	215234
tt0399146	7.4	215145
tt1001526	7.2	215023
tt6146586	7.5	214696
tt0172156	6.6	214404
tt0430922	6.8	214388
tt0259324	5.2	214377
tt0183505	6.6	214120
tt0163978	6.7	213663
tt0083944	7.7	213493
tt1324999	4.9	213386
tt0243155	6.7	213384
tt1210819	6.4	213208
tt0898367	7.2	213002
tt1485796	7.6	212938
tt0448011	6.2	212696
tt1179904	6.3	212487
tt1243957	6.0	212445
tt0118655	7.0	212285
tt1588173	6.9	212237
tt0245712	8.1	212220
tt3450958	7.4	212182
tt0107818	7.7	212154
tt1080016	6.9	211576
tt0057115	8.2	211556
tt0837562	7.1	211276
tt0486822	6.8	211238
tt0420223	7.6	211171
tt0095765	8.5	211075
tt0083987	8.0	210987
tt0462499	7.0	210190
tt0465234	6.5	210146
tt1124035	7.1	209822
tt1234721	6.2	209637
tt0095327	8.5	209620
tt2209764	6.3	208904
tt0448115	7.1	208888
tt0145660	6.6	208676
tt0427944	7.6	208394
tt1564367	6.4	208389
tt4046784	6.3	208266
tt0296572	6.7	207785
tt3065204	7.3	207743
tt1302006	8.0	207718
tt0052618	8.1	207506
tt0302886	7.1	207487
tt0983193	7.3	207395
tt0384537	6.5	206891
tt0373469	7.5	206610
tt0319343	6.9	206469
tt0080678	8.1	206422
tt0299658	7.1	206390
tt1798684	7.4	206204
tt2908446	6.2	206055
tt0110632	7.3	205863
tt0138097	7.1	205827
tt1922777	6.8	205684
tt0109445	7.7	205397
tt1598778	6.6	205367
tt1832382	8.3	205271
tt0335345	7.1	204849
tt0045152	8.3	204780
tt0133152	5.7	204581
tt1424381	6.4	204440
tt0758774	7.1	204224
tt0485947	7.8	203907
tt0108550	7.8	203162
tt0333766	7.4	203070
tt1411238	6.2	202755
tt0408306	7.5	202746
tt0120655	7.3	202050
tt1132620	7.8	201842
tt0119643	7.2	201720
tt1189340	7.3	201683
tt0795421	6.4	201654
tt0116996	6.3	201531
tt2293640	6.4	200954
tt1220719	8.0	200935
tt0287978	5.3	200879
tt0117509	6.7	200696
tt0027977	8.5	200609
tt0409847	6.0	200106
tt2361509	7.1	199951
tt2381941	6.6	199889
tt2126355	6.0	199782
tt1321870	6.7	199652
tt4160708	7.1	199492
tt0123755	7.2	198734
tt1139797	7.9	198667
tt4925292	7.4	197867
tt2334879	6.4	197472
tt0251127	6.4	197266
tt0080339	7.7	197264
tt1436562	6.9	196872
tt4196776	6.6	196842
tt1599348	6.7	196831
tt0416320	7.6	196355
tt0246460	6.1	196237
tt0305224	6.2	196089
tt0479143	7.1	195893
tt1605630	6.7	195715
tt3464902	7.2	195400
tt1291150	5.8	195068
tt1142988	6.4	194976
tt0108399	7.9	194827
tt0425061	6.5	194797
tt0376541	7.2	194682
tt1623205	6.3	194629
tt0431308	7.0	194552
tt1289401	5.2	194389
tt0265208	6.7	194072
tt1046173	5.8	193958
tt3235888	6.8	193523
tt1077258	7.1	193423
tt0311113	7.4	193329
tt0308644	7.7	193318
tt0170016	6.1	193312
tt0087800	7.5	193301
tt0112281	6.4	193256
tt0064115	8.0	193023
tt0844471	6.9	192944
tt1980209	6.4	192286
tt1606378	5.3	192188
tt0479952	6.6	192173
tt4123430	6.6	192157
tt0281358	7.4	192013
tt3741834	8.0	191940
tt0050212	8.1	191836
tt0187738	6.7	191630
tt5442430	6.6	191554
tt0059742	8.0	191536
tt0452608	6.4	191359
tt0119282	7.3	191097
tt3402236	6.5	190892
tt0266915	6.6	190778
tt2184339	5.7	190710
tt4630562	6.7	190593
tt0120855	7.3	190443
tt0146316	5.8	190407
tt0106519	7.9	190367
tt0435625	7.2	190323
tt7784604	7.3	190197
tt0142342	6.4	190119
tt0374900	6.9	189490
tt0949731	5.0	189478
tt0181865	7.6	189212
tt0032553	8.5	188758
tt0210945	7.8	188711
tt1155056	7.0	188544
tt0339291	6.8	188490
tt0295178	6.2	188355
tt1428538	6.1	188031
tt0481369	6.4	187431
tt2674426	7.4	187185
tt0328828	6.3	186782
tt0043014	8.4	186771
tt2719848	7.1	186623
tt1272878	6.7	186593
tt0356150	6.6	186454
tt0092890	7.0	186400
tt0158983	7.7	186299
tt0094737	7.3	186135
tt2582782	7.6	185977
tt0087363	7.3	185934
tt0116483	7.0	185889
tt1284575	5.6	185587
tt1815862	4.8	185526
tt0099653	7.0	185498
tt0985694	6.6	185396
tt1219827	6.3	185158
tt1649419	7.6	185110
tt0499448	6.5	184855
tt0058461	8.0	184477
tt0207201	6.4	184420
tt0959337	7.3	184330
tt0388482	6.3	184179
tt2334873	7.3	183881
tt0327597	7.7	183851
tt0437086	7.3	183805
tt0401855	6.7	183536
tt0432283	7.8	183354
tt0098635	7.6	183274
tt2234155	6.3	183181
tt0128853	6.6	182963
tt0993842	6.8	182721
tt5362988	7.7	182663
tt0960144	5.5	182288
tt0130827	7.7	182090
tt0481499	7.2	181928
tt1636826	6.6	181864
tt0079501	6.9	181717
tt2321549	6.8	181702
tt1667889	6.6	181665
tt2883512	7.3	181623
tt1148204	6.9	181477
tt1127180	6.5	180992
tt1899353	7.6	180797
tt0103874	7.4	180757
tt4846340	7.8	180750
tt0118929	7.6	180748
tt0371724	6.8	180701
tt0079817	7.3	180379
tt2704998	6.9	180246
tt0143145	6.4	180133
tt0397892	6.8	180068
tt0088846	7.9	179421
tt0117665	7.6	179252
tt1305806	8.2	179178
tt0318627	6.2	179015
tt6823368	6.7	179004
tt1340800	7.1	178650
tt0063522	8.0	178648
tt1111422	6.4	178118
tt0370263	5.6	177778
tt1972591	6.7	177712
tt0914798	7.8	177687
tt6857112	6.9	177521
tt1606389	6.8	177284
tt0477080	6.8	177093
tt0432021	6.3	176815
tt0089927	6.9	176311
tt0083907	7.5	176140
tt0212346	6.2	176138
tt7349662	7.5	176073
tt1646987	5.7	175982
tt1365519	6.3	175959
tt0120685	5.4	175795
tt0366551	7.1	175589
tt0488120	7.2	175562
tt1723811	7.2	175324
tt6139732	7.0	175126
tt1120985	7.4	175047
tt2404435	6.9	174534
tt0363988	6.6	174139
tt5726616	7.9	173935
tt0892791	6.3	173897
tt0097428	6.6	173857
tt2094766	5.7	173617
tt0462322	7.5	173274
tt1013743	6.3	173218
